"source_path","source_sha256","source_revision","function_name","classification","matlab_signature","matlab_arguments","optional_arguments","default_arguments","output_arity","variable_output_arity","output_arity_semantics","output_names","output_semantics","documentation_url","author_annotation","declared_dependencies","unresolved_declared_dependencies","inferred_dependencies","upstream_calls","external_toolboxes","sparse_support","sparse_primitives","densification","direct_rng_calls","uses_global_rng_via","random_behavior","mathematical_category","proposed_julia_name","proposed_julia_signature","compatibility_alias","implementation_status","test_status","documentation_status","benchmark_status","license_provenance_status","review_status","review_notes","known_numerical_or_semantic_ambiguities","line_count"
"GellMann.m","2282561c7e96c6c8bdbaa86a6d424196a21e172b3e6b0bbff5dc64fd2434a57c","d8589610f00cff106537268dee2e2a1153f3a601","GellMann","public","function g = GellMann(ind,varargin)","ind;varargin","SP","SP=0","1","false","exactly_1_outputs","g","Produces a Gell-Mann operator","http://www.qetlab.com/GellMann","Nathaniel Johnston (nathaniel@njohnston.ca)","opt_args","","opt_args","opt_args","","explicit","sparse","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","linear_algebra_and_matrix_analysis","gell_mann","gell_mann(index; sparse_output=false, T=Float64)","GellMann","implemented","local_basis_orthogonality_generic_wrapper_and_octave_fixture_tests_pass_matlab_not_run","api_docstring_focused_page_and_migration_mapping_present","not_started","qetlab-bsd-2-clause-license-verified","manually_reviewed_tier_b_mapping","Function-specific Octave/QETLAB evidence is supplemental and MATLAB was not run.;Hermiticity, trace, Hilbert-Schmidt orthogonality, sparse output, and precision selection are tested.","MATLAB varargin/default semantics require manual review","50"
"GenGellMann.m","c32f3251ae37595ba8999d6bbd1d85a20f083a1bca7404a06396aa5ab5daa959","d8589610f00cff106537268dee2e2a1153f3a601","GenGellMann","public","function g = GenGellMann(ind1,ind2,dim,varargin)","ind1;ind2;dim;varargin","SP","SP=0","1","false","exactly_1_outputs","g","Produces a generalized Gell-Mann operator or the identity matrix","http://www.qetlab.com/GenGellMann","Nathaniel Johnston (nathaniel@njohnston.ca)","opt_args","","opt_args","opt_args","","explicit","sparse;speye","explicit_full_call","","","deterministic_no_direct_or_transitive_rng_calls_detected","linear_algebra_and_matrix_analysis","generalized_gell_mann","generalized_gell_mann(first, second, dim; sparse_output=false, T=Float64)","GenGellMann","implemented","local_basis_orthogonality_generic_sparse_wrapper_and_octave_fixture_tests_pass_matlab_not_run","api_docstring_focused_page_and_migration_mapping_present","not_started","qetlab-bsd-2-clause-license-verified","manually_reviewed_tier_b_mapping","Function-specific Octave/QETLAB evidence is supplemental and MATLAB was not run.;The zero-based basis indices and identity element match the pinned QETLAB contract.","calls full(...); densification conditions and size limits require review;MATLAB varargin/default semantics require manual review","49"
"GenPauli.m","d12052e1597f08f17a3bd43d1dc7687014d5fb54555a0a1c726f348ebcd2026d","d8589610f00cff106537268dee2e2a1153f3a601","GenPauli","public","function p = GenPauli(ind1,ind2,dim,varargin)","ind1;ind2;dim;varargin","SP","SP=0","1","false","exactly_1_outputs","p","Produces a generalized Pauli operator","http://www.qetlab.com/GenPauli","Nathaniel Johnston (nathaniel@njohnston.ca)","opt_args","","opt_args","opt_args","","explicit","speye","explicit_full_call","","","deterministic_no_direct_or_transitive_rng_calls_detected","nonlocality_and_games","generalized_pauli","generalized_pauli(shift, clock, dim; sparse_output=false, T=Float64)","GenPauli","implemented","local_unitarity_generic_sparse_wrapper_and_octave_fixture_tests_pass_matlab_not_run","api_docstring_focused_page_and_migration_mapping_present","not_started","qetlab-bsd-2-clause-license-verified","manually_reviewed_tier_b_mapping","Function-specific Octave/QETLAB evidence is supplemental and MATLAB was not run.;The zero-based Weyl indices match the pinned QETLAB contract.","calls full(...); densification conditions and size limits require review;MATLAB varargin/default semantics require manual review","40"
"GenRobustnesskCoherence.m","aa3d429fc0fb9f715391620de67d9407f638bd58307922e49bf7ab5b57e37e78","d8589610f00cff106537268dee2e2a1153f3a601","GenRobustnesskCoherence","public","function [robk,sig] = GenRobustnesskCoherence(rho,k)","rho;k","","","2","false","exactly_2_outputs","robk;sig","Computes the generalized robustness of k-coherence of a mixed quantum state","","Nathaniel Johnston (nathaniel@njohnston.ca)","CVX;IskCoherent","IskCoherent","","","CVX","not_declared","","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","quantum_coherence","generalized_robustness_k_coherence","generalized_robustness_k_coherence(state, k; backend)","GenRobustnesskCoherence","blocked_with_explicit_reason","not_started","missing_pinned_dependency_and_optimization_blocker_documented","not_started","qetlab-bsd-2-clause-license-verified","source_reviewed_2026_07_29","It also divides the noise state by robustness without defining the zero-robustness case, so the value and optimizer need a structured specification.;The CVX routine calls IskCoherent, which is absent at the pinned revision; the available upstream name is IskIncoherent.","CVX solver status and failure semantics require an explicit Julia design;declared dependency absent at pinned revision: IskCoherent;no upstream documentation URL annotation found","30"
"GHZState.m","8e97a087fa7a7d35c61e84d97c4ffa3946e7c020fb91fc047d982dacbd8ba418","d8589610f00cff106537268dee2e2a1153f3a601","GHZState","public","function ghz_state = GHZState(dim,q,varargin)","dim;q;varargin","COEFF","COEFF=[1,1,...,1]/sqrt(DIM)","1","false","exactly_1_outputs","ghz_state","Generates a (generalized) GHZ state","http://www.qetlab.com/GHZState","Vincent Russo (vrusso@uwaterloo.ca) Nathaniel Johnston (nathaniel@njohnston.ca)","opt_args","","opt_args","opt_args","","explicit","sparse","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","quantum_states","ghz_state","ghz_state(dim, parties; coefficients=nothing, sparse_output=true, T=Float64)","GHZState","implemented","local_normalization_coefficients_sparse_wrapper_and_octave_fixture_tests_pass_matlab_not_run","api_docstring_focused_page_and_migration_mapping_present","not_started","qetlab-bsd-2-clause-license-verified","manually_reviewed_tier_b_mapping","Function-specific Octave/QETLAB evidence is supplemental and MATLAB was not run.;Supplied coefficients are used exactly and never silently normalized.","MATLAB varargin/default semantics require manual review","57"
"GisinState.m","b63f125e4784317a9486b5e315b151598ddc4d611aa564755c9de8e136dd70e2","d8589610f00cff106537268dee2e2a1153f3a601","GisinState","public","function gisin_state = GisinState( lambda, theta )","lambda;theta","","","1","false","exactly_1_outputs","gisin_state","Produces a Gisin state","http://www.qetlab.com/GisinState","Vincent Russo (vrusso@uwaterloo.ca)","","","","","","not_declared","","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","quantum_states","gisin_state","gisin_state(lambda, theta)","GisinState","implemented","local_psd_trace_wrapper_and_octave_fixture_tests_pass_matlab_not_run","api_docstring_focused_page_and_migration_mapping_present","not_started","qetlab-bsd-2-clause-license-verified","manually_reviewed_tier_b_mapping","Function-specific Octave/QETLAB evidence is supplemental and MATLAB was not run.;The mixing probability is validated in [0,1] and the angle is documented in radians.","","41"
"helpers/asum_vector.m","5372582de71427318e85e953ea066b2b8e2325b5c4cabcd8f8e671894257951f","d8589610f00cff106537268dee2e2a1153f3a601","asum_vector","internal","function alist = asum_vector(sm,p)","sm;p","","","1","false","exactly_1_outputs","alist","Creates all binary vectors with a given sum","http://www.qetlab.com/asum_vector","Nathaniel Johnston (nathaniel@njohnston.ca)","","","","","","not_declared","","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","internal_helper","asum_vector","asum_vector(sm, p)","","internal_helper_superseded_by_private_parent_algorithm","indirect_parent_local_tests_pass_no_standalone_helper_test","parent_public_api_documented_helper_not_exposed","not_started","qetlab-bsd-2-clause-license-verified","source_reviewed_internal_2026_07_29","Projector and basis properties plus the reviewed upstream fixture pass, so no public helper is needed.;Used only by upstream AntisymmetricProjection; the Julia implementation directly enumerates strictly increasing basis labels.","","37"
"helpers/asymind.m","1050947ad2191f377c52b5efceaf2b3a299ed5dad099e13f93451b645e2b0abf","d8589610f00cff106537268dee2e2a1153f3a601","asymind","internal","function ai = asymind(d,v)","d;v","","","1","false","exactly_1_outputs","ai","Creates all possible increasing integer vectors","http://www.qetlab.com/asymind","Nathaniel Johnston (nathaniel@njohnston.ca)","","","","","","not_declared","","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","internal_helper","asymind","asymind(d, v)","","internal_helper_superseded_by_private_parent_algorithm","indirect_parent_local_tests_pass_no_standalone_helper_test","parent_public_api_documented_helper_not_exposed","not_started","qetlab-bsd-2-clause-license-verified","source_reviewed_internal_2026_07_29","The pinned tree has no public caller; its increasing-tuple capability is represented by the private projector iterator.","","32"
"helpers/bcs_to_nonlocal.m","564b9cb44f336e327426cbf2c1ae54ee71e34d0aaa1188f18be0f2c329f1e1a3","d8589610f00cff106537268dee2e2a1153f3a601","bcs_to_nonlocal","internal","function [p,V] = bcs_to_nonlocal(C)","C","","","2","false","exactly_2_outputs","p;V","Converts a constraint description of a binary constraint system (BCS) game to a general non-local game description","http://www.qetlab.com/bcs_to_nonlocal","Nathaniel Johnston (nathaniel@njohnston.ca)","update_odometer","","pad_array","pad_array;update_odometer","","not_declared","","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","internal_helper","bcs_to_nonlocal","bcs_to_nonlocal(c)","","deferred_with_bcs_game_scope","not_started","parent_blocker_documented_helper_not_exposed","not_started","qetlab-bsd-2-clause-license-verified","source_reviewed_internal_2026_07_29","Called by the blocked BCS game rows; no nonlocal-game representation or validation contract exists.;The pinned requires annotation is stale: the body calls pad_array rather than its declared update_odometer helper.","","94"
"helpers/cg2fc.m","7a578b71ccda11b933f06c7fb72ca87ed052b309d0fbb78a1aaffcb496011635","d8589610f00cff106537268dee2e2a1153f3a601","CG2FC","internal","function FC = CG2FC(CG,varargin)","CG;varargin","","","1","false","exactly_1_outputs","FC","takes a Bell functional or behaviour CG that is","","","","","","","","not_declared","","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","internal_helper","cg2_fc","cg2_fc(cg)","","deferred_with_bell_nonlocal_game_scope","not_started","parent_blocker_documented_helper_not_exposed","not_started","qetlab-bsd-2-clause-license-verified","source_reviewed_internal_2026_07_29","Required by BellInequalityMax; neither Collins-Gisin nor full-correlator representations exist in the package.","behavior depends on MATLAB input/output arity;MATLAB varargin/default semantics require manual review;no upstream documentation URL annotation found","39"
"helpers/cg2fp.m","4ef594b9a2ea7aeb2c26dbc195f15f38bad0ed5c8732c56d54d885b3e2cb6695","d8589610f00cff106537268dee2e2a1153f3a601","CG2FP","internal","function V=CG2FP(CG,desc,varargin)","CG;desc;varargin","","","1","false","exactly_1_outputs","V","takes a Bell functional or behaviour CG","","Mateus Araújo","","","","","","not_declared","","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","internal_helper","cg2_fp","cg2_fp(cg, desc)","","deferred_with_bell_nonlocal_game_scope","not_started","parent_blocker_documented_helper_not_exposed","not_started","qetlab-bsd-2-clause-license-verified","source_reviewed_internal_2026_07_29","Required by BellInequalityMax; full-probability output shapes and functional-versus-behaviour semantics remain unimplemented.","behavior depends on MATLAB input/output arity;MATLAB varargin/default semantics require manual review;no upstream documentation URL annotation found","77"
"helpers/chshd.m","6a4579d091311a395b0ad989fdaca3612a80d989d021a47bf5bc735d44ef617b","d8589610f00cff106537268dee2e2a1153f3a601","chshd","internal","function G = chshd(d)","d","","","1","false","exactly_1_outputs","G","produces coefficients of the CHSH-d game","","","","","","","","not_declared","","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","internal_helper","chshd","chshd(d)","","intentionally_not_ported_unreferenced_upstream_private_helper","not_applicable_no_package_binding","inventory_disposition_only","not_applicable_standard_fixture","qetlab-bsd-2-clause-license-verified","source_reviewed_internal_2026_07_29","The pinned tree has no caller; this private d^4 CHSH-d coefficient-array constructor is not a public QETLAB capability.","no upstream documentation URL annotation found","19"
"helpers/dec_to_bin.m","946754377ccb8fe54fc3063b059524be8a9a85e8ed31d3c4590027da8f35d6d1","d8589610f00cff106537268dee2e2a1153f3a601","dec_to_bin","internal","function bin = dec_to_bin(dec)","dec","","","1","false","exactly_1_outputs","bin","Takes a decimal number and turns it to a vector representing the","http://www.qetlab.com/dec_to_bin","Robert Materi","","","","","","not_declared","","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","internal_helper","dec_to_bin","dec_to_bin(dec)","","internal_helper_superseded_by_parent_specific_iteration","indirect_parent_local_tests_pass_no_standalone_helper_test","parent_public_api_documented_helper_not_exposed","not_started","qetlab-bsd-2-clause-license-verified","source_reviewed_internal_2026_07_29","Upstream Tensor uses this only for copy-count exponentiation; tensor_power iterates directly and its native and compatibility tests pass.","","27"
"helpers/exp2ind.m","4a2a7136055de266572d4b5fb9e7ede12f99c9a02863f61ce0f9d0aab32779d4","d8589610f00cff106537268dee2e2a1153f3a601","exp2ind","internal","function ind = exp2ind(expnts)","expnts","","","1","false","exactly_1_outputs","ind","Looks up a monomial's lexicographical index based on a list of exponents","http://www.qetlab.com/exp2ind","Nathaniel Johnston (nathaniel@njohnston.ca)","","","symindfind","symindfind","","not_declared","","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","internal_helper","exp2ind","exp2ind(expnts)","","deferred_with_polynomial_optimization_scope","not_started","parent_blocker_documented_helper_not_exposed","not_started","qetlab-bsd-2-clause-license-verified","source_reviewed_internal_2026_07_29","Required by deferred polynomial rows; no polynomial coefficient-index representation exists.","","27"
"helpers/fc2cg.m","7b1dd9f0ad9a84ed981380d59b5187599b9ba0d3af050f7962630a77045079aa","d8589610f00cff106537268dee2e2a1153f3a601","FC2CG","internal","function CG = FC2CG(FC,varargin)","FC;varargin","","","1","false","exactly_1_outputs","CG","takes a Bell functional or behaviour FC that is in","","","","","","","","not_declared","","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","internal_helper","fc2_cg","fc2_cg(fc)","","deferred_with_bell_nonlocal_game_scope","not_started","parent_blocker_documented_helper_not_exposed","not_started","qetlab-bsd-2-clause-license-verified","source_reviewed_internal_2026_07_29","Required by BellInequalityMax and referenced by NPAHierarchy; no Bell-notation conversion layer exists.","behavior depends on MATLAB input/output arity;MATLAB varargin/default semantics require manual review;no upstream documentation URL annotation found","39"
"helpers/fc2fp.m","00dba92e444e8a295140fac85b7236b7924687bc84e51fc5dd67ef69fd92b8a4","d8589610f00cff106537268dee2e2a1153f3a601","FC2FP","internal","function V = FC2FP(FC,varargin)","FC;varargin","","","1","false","exactly_1_outputs","V","takes a Bell functional or behaviour FC that is in","","Mateus Araújo","","","","","","not_declared","","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","internal_helper","fc2_fp","fc2_fp(fc)","","deferred_with_bell_nonlocal_game_scope","not_started","parent_blocker_documented_helper_not_exposed","not_started","qetlab-bsd-2-clause-license-verified","source_reviewed_internal_2026_07_29","This completes the upstream Bell-notation conversion family; no current Julia game representation can support or test it.","behavior depends on MATLAB input/output arity;MATLAB varargin/default semantics require manual review;no upstream documentation URL annotation found","47"
"helpers/ffl.m","9dc80cd28f7644ad540a3dd79db8c27b92a6ec5da21f050977cab45274590945","d8589610f00cff106537268dee2e2a1153f3a601","ffl","internal","function G = ffl()","","","","1","false","exactly_1_outputs","G","produces coefficients of the Fortnow-Feige-Lovász game","","","","","","","","not_declared","","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","internal_helper","ffl","ffl()","","intentionally_not_ported_unreferenced_upstream_private_helper","not_applicable_no_package_binding","inventory_disposition_only","not_applicable_standard_fixture","qetlab-bsd-2-clause-license-verified","source_reviewed_internal_2026_07_29","The pinned tree has no caller; this fixed Fortnow-Feige-Lovasz game fixture is not a public QETLAB capability.","no upstream documentation URL annotation found","21"
"helpers/fp2cg.m","e025f7d65cbc4c82ecce4060241e609dd79cbea7884704766f51b3baa62ba1eb","d8589610f00cff106537268dee2e2a1153f3a601","FP2CG","internal","function CG = FP2CG(V,varargin)","V;varargin","","","1","false","exactly_1_outputs","CG","takes a Bell functional or behaviour V that is in","","","","","","","","not_declared","","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","internal_helper","fp2_cg","fp2_cg(v)","","deferred_with_bell_nonlocal_game_scope","not_started","parent_blocker_documented_helper_not_exposed","not_started","qetlab-bsd-2-clause-license-verified","source_reviewed_internal_2026_07_29","Used by BellInequalityMax and NPAHierarchy; no full-probability game type or no-signalling validation is present.","behavior depends on MATLAB input/output arity;MATLAB varargin/default semantics require manual review;no upstream documentation URL annotation found","78"
"helpers/fp2fc.m","9072538690df49ad4dde033467e3d657fd9d22b7a394bd3d24fc679aa23f17a8","d8589610f00cff106537268dee2e2a1153f3a601","FP2FC","internal","function FC = FP2FC(V,varargin)","V;varargin","","","1","false","exactly_1_outputs","FC","takes a Bell functional or behaviour V that is in","","Mateus Araújo","","","","","","not_declared","","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","internal_helper","fp2_fc","fp2_fc(v)","","deferred_with_bell_nonlocal_game_scope","not_started","parent_blocker_documented_helper_not_exposed","not_started","qetlab-bsd-2-clause-license-verified","source_reviewed_internal_2026_07_29","Required by BellInequalityMax; the pinned binary-output restriction needs an explicit representation and validation contract.","behavior depends on MATLAB input/output arity;MATLAB varargin/default semantics require manual review;no upstream documentation URL annotation found","62"
"helpers/glob_ind.m","5f9a7ea3aeb393757cac45ab31362e8b2678ce0b0a5eb000ff9a21d4ba10d13f","d8589610f00cff106537268dee2e2a1153f3a601","glob_ind","internal","function gi = glob_ind(li,dim)","li;dim","","","1","false","exactly_1_outputs","gi","Creates a global index vector based on a local index vector","http://www.qetlab.com/glob_ind","Nathaniel Johnston (nathaniel@njohnston.ca)","","","","","","not_declared","","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","internal_helper","glob_ind","glob_ind(li, dim)","","internal_helper_superseded_with_intentional_index_convention_change","direct_mapping_and_parent_local_tests_pass","parent_index_convention_documented_helper_not_exposed","indirect_local_quick_smoke_recorded","qetlab-bsd-2-clause-license-verified","source_reviewed_internal_2026_07_29","basis_to_linear is directly tested but uses the documented first-subsystem-slowest convention.;The helper's first-local-index-fastest arithmetic is intentionally not exposed as a compatibility alias.","","23"
"helpers/has_band_k_ordering.m","d4b6b6be5793515b3b98f98ba585f04041e6e7875f22437a36b413f6308be8d7","d8589610f00cff106537268dee2e2a1153f3a601","has_band_k_ordering","internal","function [has_ordering, ordering] = has_band_k_ordering(A, k)","A;k","","","2","false","exactly_2_outputs","has_ordering;ordering","Determines whether a matrix has bandwidth ≤ k up to symmetric permutation","http://www.qetlab.com/has_band_k_ordering","Luis M. B. Varona (lm.varona@outlook.com)","","","","","","not_declared","","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","internal_helper","has_band_k_ordering","has_band_k_ordering(a, k)","","deferred_with_k_incoherence_scope","not_started","parent_blocker_documented_helper_not_exposed","not_started","qetlab-bsd-2-clause-license-verified","source_reviewed_internal_2026_07_29","Its only public consumer is blocked IskIncoherent; the exponential recognition algorithm is absent and the pinned call has an argument-order defect.","","281"
"helpers/iden.m","1e00bcbe31691c85493a7193ebdcf55fb9da3f9672628bc38f8cbead002dee1e","d8589610f00cff106537268dee2e2a1153f3a601","iden","internal","function id = iden(dim,sp)","dim;sp","","","1","false","exactly_1_outputs","id","Computes a sparse or full identity matrix","http://www.qetlab.com/iden","Nathaniel Johnston (nathaniel@njohnston.ca)","","","","","","explicit","speye","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","internal_helper","iden","iden(dim, sp)","","internal_helper_superseded_by_julia_identity_constructors","indirect_parent_local_tests_pass_no_standalone_helper_test","inventory_disposition_only","not_applicable_standard_primitive","qetlab-bsd-2-clause-license-verified","source_reviewed_internal_2026_07_29","Julia code uses I, dense constructors, or sparse diagonal identities while preserving requested type and storage; no helper alias is appropriate.","","26"
"helpers/jacobi_poly.m","3001148f6fb136306a23a48ce6176b2b2ed65b278e4f1f998cb180486124d513","d8589610f00cff106537268dee2e2a1153f3a601","jacobi_poly","internal","function jp = jacobi_poly(a,b,n)","a;b;n","","","1","false","exactly_1_outputs","jp","Computes the coefficients of Jacobi polynomials","http://www.qetlab.com/jacobi_poly","Nathaniel Johnston (nathaniel@njohnston.ca)","","","","","","not_declared","","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","internal_helper","jacobi_poly","jacobi_poly(a, b, n)","","deferred_with_sk_norm_and_extension_scope","not_started","parent_blocker_documented_helper_not_exposed","not_started","qetlab-bsd-2-clause-license-verified","source_reviewed_internal_2026_07_29","Needed by blocked S(k)-norm, symmetric-inner-extension, and unported IsSeparable branches; no polynomial routine or dependency exists.","","28"
"helpers/normalize_cols.m","9c1f28f57a263233e1f947a27e7ffde896a50e4c2b5294f7aff6795b68c2310d","d8589610f00cff106537268dee2e2a1153f3a601","normalize_cols","internal","function Y = normalize_cols(X)","X","","","1","false","exactly_1_outputs","Y","Scales the columns of a matrix to have norm 1","http://www.qetlab.com/normalize_cols","Nathaniel Johnston (nathaniel@njohnston.ca)","","","","","","not_declared","","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","internal_helper","normalize_cols","normalize_cols(x)","","deferred_with_distinguishability_upb_and_sk_scope","not_started","parent_blocker_documented_helper_not_exposed","not_started","qetlab-bsd-2-clause-license-verified","source_reviewed_internal_2026_07_29","All substantive consumers are blocked or deferred; a future implementation must define zero-column behavior instead of blindly dividing by zero.","","18"
"helpers/one_factorization.m","7b042b3729b96dc4646c57adc24dcd5e4f59cf710520b0a6f98e7f3fd0c531ca","d8589610f00cff106537268dee2e2a1153f3a601","one_factorization","internal","function fac = one_factorization(n)","n","","","1","false","exactly_1_outputs","fac","Computes a 1-factorization of a list of objects","http://www.qetlab.com/one_factorization","Nathaniel Johnston (nathaniel@njohnston.ca)","","","","","","not_declared","","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","internal_helper","one_factorization","one_factorization(n)","","deferred_with_upb_scope","not_started","parent_blocker_documented_helper_not_exposed","not_started","qetlab-bsd-2-clause-license-verified","source_reviewed_internal_2026_07_29","Its only code consumer is the deferred UPB catalog; no complete-graph factorization routine exists in the package.","","41"
"helpers/opt_args.m","dbc55ac1a3dc9f275858bd769961a7768c660933504e6a12b513068b04393953","d8589610f00cff106537268dee2e2a1153f3a601","opt_args","internal","function varargout = opt_args(def_args,varargin)","def_args;varargin","","","0","true","at_least_0_fixed_outputs_plus_varargout","varargout","Handles optional input arguments for functions","http://www.qetlab.com/opt_args","Nathaniel Johnston (nathaniel@njohnston.ca)","","","","","","not_declared","","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","internal_helper","opt_args","opt_args(def_args)","","internal_helper_superseded_by_julia_methods_defaults_and_keywords","indirect_parent_local_tests_pass_no_standalone_helper_test","parent_public_api_documented_helper_not_exposed","not_applicable_standard_primitive","qetlab-bsd-2-clause-license-verified","source_reviewed_internal_2026_07_29","Reviewed Julia APIs express defaults through methods and keywords and validate invalid inputs directly; a MATLAB varargout helper is inappropriate.","MATLAB varargin/default semantics require manual review;output arity varies through MATLAB varargout","30"
"helpers/opt_disp.m","8b22b087e98fe49aa2e8b23d48035baad8799787f734e45561145c2ffc7f0b4a","d8589610f00cff106537268dee2e2a1153f3a601","opt_disp","internal","function opt_disp(X,verbose)","X;verbose","","","0","false","exactly_0_outputs","","Display a message to the user (sometimes)","http://www.qetlab.com/opt_disp","Nathaniel Johnston (nathaniel@njohnston.ca)","","","","","","not_declared","","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","internal_helper","opt_disp","opt_disp(x, verbose)","","internal_helper_superseded_by_structured_results_and_standard_io","indirect_parent_local_tests_pass_no_standalone_helper_test","parent_public_api_documented_helper_not_exposed","not_applicable_standard_primitive","qetlab-bsd-2-clause-license-verified","source_reviewed_internal_2026_07_29","Current certificate APIs return status and message evidence rather than conditionally printing; deferred ports should retain that design.","","26"
"helpers/pad_array.m","b5b31c37f87cb7c704e6dacc3e265d3ec003c5d476cf57e6dc252b6d98cdf028","d8589610f00cff106537268dee2e2a1153f3a601","pad_array","internal","function bin = pad_array(arr, pad_num, dir)","arr;pad_num;dir","","","1","false","exactly_1_outputs","bin","%  Pad_array.m","http://www.qetlab.com/pad_array","Robert Materi","","","","","","not_declared","","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","internal_helper","pad_array","pad_array(arr, pad_num, dir)","","internal_helper_superseded_by_julia_concatenation_and_fill","not_applicable_no_package_binding","inventory_disposition_only","not_applicable_standard_primitive","qetlab-bsd-2-clause-license-verified","source_reviewed_internal_2026_07_29","This helper replaces a MATLAB toolbox utility; ordinary Julia fill and concatenation cover the operation without a public API.","","40"
"helpers/perfect_matchings.m","82b8bb4e7017300b506ee1d41b3ab619577677a6dc825ed7130615476a175aa1","d8589610f00cff106537268dee2e2a1153f3a601","perfect_matchings","internal","function pm = perfect_matchings(n)","n","","","1","false","exactly_1_outputs","pm","Gives all perfect matchings of N objects","http://www.qetlab.com/perfect_matchings","Nathaniel Johnston (nathaniel@njohnston.ca)","","","","","","not_declared","","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","internal_helper","perfect_matchings","perfect_matchings(n)","","internal_helper_superseded_by_private_parent_algorithm","indirect_parent_local_tests_pass_no_standalone_helper_test","parent_public_api_documented_helper_not_exposed","not_started","qetlab-bsd-2-clause-license-verified","source_reviewed_internal_2026_07_29","A private exact matching enumerator supports brauer_states; count guards, properties, wrappers, and upstream fixtures pass.","","51"
"helpers/perm_inv.m","931da8ce67e5eab2b6c2f1414a537ddb6cd7e5fdfff30c3b81259fa00d7aec4f","d8589610f00cff106537268dee2e2a1153f3a601","perm_inv","internal","function res = perm_inv(perm)","perm","","","1","false","exactly_1_outputs","res","Computes the inverse of a permutation","http://www.qetlab.com/perm_inv","Nathaniel Johnston (nathaniel@njohnston.ca)","","","","","","not_declared","","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","internal_helper","perm_inv","perm_inv(perm)","","internal_helper_superseded_by_base_invperm","indirect_parent_local_tests_pass_no_standalone_helper_test","parent_public_api_documented_helper_not_exposed","not_started","qetlab-bsd-2-clause-license-verified","source_reviewed_internal_2026_07_29","Subsystem plans use Base.invperm and inverse-plan round trips are tested; no package helper or alias is needed.","","16"
"helpers/perm_sign.m","7acbd1b07c9c97d622ab370c186d672e6605ebf3086c57106cbdf6b921eab113","d8589610f00cff106537268dee2e2a1153f3a601","perm_sign","internal","function sgn = perm_sign(perm)","perm","","","1","false","exactly_1_outputs","sgn","Computes the sign of a permutation","http://www.qetlab.com/perm_sign","Nathaniel Johnston (nathaniel@njohnston.ca)","","","","","","explicit","speye","none_detected","","","deterministic_no_direct_or_transitive_rng_calls_detected","internal_helper","perm_sign","perm_sign(perm)","","internal_helper_superseded_by_private_parent_algorithm","indirect_parent_local_tests_pass_no_standalone_helper_test","parent_public_api_documented_helper_not_exposed","not_started","qetlab-bsd-2-clause-license-verified","source_reviewed_internal_2026_07_29","The Julia antisymmetric projector computes inversion parity privately; projector and basis properties plus the upstream fixture pass.","","23"
"helpers/poly_rand_input.m","3dcf8b78f17b45a17431f3ac8a34f326be7aa5e4351e20969e5225686fe7a2ff","d8589610f00cff106537268dee2e2a1153f3a601","poly_rand_input","internal","function px = poly_rand_input(p,n,si)","p;n;si","","","1","false","exactly_1_outputs","px","Evaluates a homogeneous polynomial on a random input from the unit sphere","http://www.qetlab.com/poly_rand_input","Nathaniel Johnston (nathaniel@njohnston.ca)","","","","","","not_declared","","none_detected","randn","","implicit_matlab_global_rng_direct:randn","internal_helper","poly_rand_input","poly_rand_input(p, n, si)","","deferred_with_polynomial_optimization_scope","not_started","parent_blocker_documented_helper_not_exposed","not_started","qetlab-bsd-2-clause-license-verified","source_reviewed_internal_2026_07_29","Used only by deferred polynomial optimization rows; any port must require an explicit rng::AbstractRNG and deterministic work budget.","implicit MATLAB global RNG; Julia API must accept an explicit rng","28"
